academic_confidence,ambiguity_flag,career_priorities,constraints,curriculum_type,dataset_version,expected_prodi,free_text_goal_keywords,interest_deep_dive,interests,prodi_to_avoid,quality_flag,sample_id,score_advanced_math,score_anthropology,score_arts,score_bahasa,score_biology,score_chemistry,score_civics,score_economics,score_english,score_foreign_language,score_geography,score_history,score_indonesian,score_informatics,score_kesehatan,score_math,score_olahraga,score_paling_banyak_1_mata_pelajaran_pendukung_yang_relevan_dengan_program_studi_kependidikannya,score_pattern,score_pendidikan_jasmani,score_physics,score_pjok,score_religion,score_sastra_inggris,score_sociology,sma_track,source_type,target_cluster,target_kelompok_prodi,target_prodi,target_prodi_id,work_style
science/lab,False,stable career|public service,balanced,K13 Bahasa,apti_dataset_v2,Patiseri,Tourism Planner Hotel Manager,communication_media|engineering|hands_on|technology_digital|tourism_hospitality,Engineering|Media|Technology|Tourism,none,focused_average,S02585,70,78,75,89,64,67,71,,73,,73,73,86,77,,61,,,several strong subjects,,64,69,66,76,73,Bahasa,synthetic_v2,Ilmu Terapan,Pariwisata,Patiseri,P0426,independent
social/human,False,high salary potential|stable career,lab-heavy,K13 IPS,apti_dataset_v2,,Teacher Curriculum Developer,communication_media|creative_design|education_teaching|helping_people|language_culture,Design|Education|Language|Media,none,standard,S02586,74,,83,,73,62,74,59,71,76,83,,81,62,,63,,,several strong subjects,,61,65,68,,80,Bahasa,synthetic_v2,Humaniora,Linguistik,Pendidikan Bahasa Jepang,P0037,lab work
language/writing,False,stable career|helping people,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,Pariwisata Bahari,Tourism Planner Hotel Manager,communication_media|environment_field|health_life_science|research_analysis|tourism_hospitality,Environment|Health|Media|Tourism,none,standard,S02587,69,71,70,,,,79,73,86,81,74,78,73,80,,74,,,several strong subjects,,90,66,77,,69,IPA,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kelautan,Pariwisata Bahari,P0102,lab work
science/lab,False,stable career|research/innovation,balanced,K13 IPS,apti_dataset_v2,Teknologi Penangkapan Ikan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02588,72,73,63,,79,77,69,,62,62,72,72,61,82,,69,,,several strong subjects,,60,72,66,,68,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Perikanan,Teknologi Penangkapan Ikan,P0171,research-focused
creative/art,False,remote/digital work|stable career,balanced,K13 Bahasa,apti_dataset_v2,Ilmu Politik,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02589,85,73,59,,74,70,86,,77,60,75,84,89,68,,65,,,several strong subjects,,76,77,60,,74,IPS,synthetic_v2,Ilmu Terapan,Urusan Publik,Ilmu Politik,P0402,lab work
social/human,False,public service|helping people,field-heavy,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S02590,88,82,85,,71,84,98,73,93,87,91,82,85,84,,83,,,several strong subjects,,99,95,88,,72,IPA,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kebumian,Klimatologi,P0096,independent
balanced,False,helping people|high salary potential,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02591,88,74,66,,73,57,81,87,74,88,,72,85,85,84,70,89,,several strong subjects,85,84,91,73,,75,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Keolahragaan,Olahraga Rekreasi,P0413,independent
social/human,True,research/innovation|high salary potential,field-heavy,K13 IPA,apti_dataset_v2,Ilmu Tanah,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Social|Technology,none,standard,S02592,80,68,70,,,82,86,75,64,75,71,,79,84,,62,,,balanced,,84,67,65,,76,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu dan Sains Pertanian,Ilmu Tanah,P0153,lab work
social/human,False,research/innovation|helping people,balanced,K13 IPS,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,focused_average,S02593,76,68,70,,83,74,77,83,81,63,69,73,71,,,92,,,several strong subjects,,,71,69,,,Bahasa,synthetic_v2,Ilmu Sosial,Ekonomi,Ekonomi Digital,P0072,independent
numbers/calculation,False,stable career|research/innovation,balanced,K13 IPS,apti_dataset_v2,Pendidikan Bahasa Indonesia,Teacher Curriculum Developer,communication_media|creative_design|education_teaching|helping_people|language_culture,Design|Education|Language|Media,none,standard,S02594,81,,78,,85,88,69,97,93,,71,74,90,85,,77,,,several strong subjects,,83,74,74,,86,Merdeka,synthetic_v2,Humaniora,Linguistik,Pendidikan Bahasa Indonesia,P0034,independent
social/human,False,remote/digital work|public service,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,Teknologi Pasca Panen,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02595,75,85,75,,85,88,76,72,81,65,,,62,72,,77,,,several strong subjects,,64,64,66,,76,IPS,synthetic_v2,Ilmu Terapan,"Teknologi Pangan, Teknologi Hasil Pertanian/Peternakan/Perikanan",Teknologi Pasca Panen,P0470,field work
creative/art,False,remote/digital work|public service,balanced,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S02596,77,74,78,,,,75,76,78,,,,77,,,76,,,several strong subjects,,60,70,65,,,Bahasa,synthetic_v2,Ilmu Terapan,Keperawatan,Ners,P0369,research-focused
creative/art,True,stable career|remote/digital work,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Education|Engineering|Technology,none,standard,S02597,76,81,73,,,74,81,72,77,67,70,77,76,66,,68,,,balanced,,84,80,66,,69,Bahasa,synthetic_v2,Ilmu Terapan,Studi Humanitas,Tasawuf dan Psikoterapi,P0487,independent
numbers/calculation,False,remote/digital work|public service,lab-heavy,K13 IPS,apti_dataset_v2,,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02598,67,80,60,,69,80,74,,80,69,66,73,76,,,70,,,several strong subjects,,87,66,68,,72,IPS,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Teknik Robotika,P0306,teamwork
language/writing,True,remote/digital work|public service,lab-heavy,K13 IPS,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Business|Media|Social,none,standard,S02599,73,64,72,,71,69,93,,67,,66,,72,69,,74,,,balanced,,82,80,81,,66,Merdeka,synthetic_v2,Ilmu Sosial,Pertahanan,Manajemen Pertahanan,P0078,teamwork
social/human,False,helping people|high salary potential,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,Hukum Bisnis,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Engineering|Law|Technology,none,standard,S02600,,,79,,80,,87,78,73,82,,77,82,70,,72,,,several strong subjects,,87,80,100,,76,Bahasa,synthetic_v2,Ilmu Terapan,Hukum,Hukum Bisnis,P0391,teamwork
science/lab,False,remote/digital work|helping people,theory-heavy,K13 IPS,apti_dataset_v2,Logika dan Filsafat Sains,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S02601,,74,71,,74,72,63,77,66,,78,,74,71,,85,,,several strong subjects,,63,69,69,,72,IPA,synthetic_v2,Ilmu Formal,Logika,Logika dan Filsafat Sains,P0139,teamwork
balanced,False,high salary potential|research/innovation,field-heavy,K13 IPS,apti_dataset_v2,Pendidikan Teknik Elektro,Engineer Project Engineer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S02602,72,66,66,,71,69,76,69,73,73,82,74,64,70,,89,,85,several strong subjects,,79,71,76,,,Bahasa,synthetic_v2,Ilmu Terapan,Pendidikan,Pendidikan Teknik Elektro,P0262,field work
balanced,True,high salary potential|research/innovation,practical/project-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Social|Technology,none,standard,S02603,70,,77,,73,79,79,78,100,80,86,90,89,81,,84,,,balanced,,81,64,74,,100,IPA,synthetic_v2,Ilmu Terapan,Urusan Publik,Manajemen dan Kebijakan Publik,P0401,lab work
social/human,True,public service|helping people,balanced,K13 IPS,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Business|Education|Media,none,standard,S02604,74,84,83,,74,74,81,73,74,64,83,85,73,79,,72,,,balanced,,71,78,73,,55,Bahasa,synthetic_v2,Ilmu Sosial,Pertahanan,Manajemen Pertahanan,P0078,field work
balanced,False,remote/digital work|public service,practical/project-heavy,K13 IPS,apti_dataset_v2,Ners,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S02605,,72,73,,92,70,84,77,86,72,62,71,80,74,,72,,,several strong subjects,,,73,80,,83,IPS,synthetic_v2,Ilmu Terapan,Keperawatan,Ners,P0369,field work
numbers/calculation,False,public service|stable career,balanced,K13 IPA,apti_dataset_v2,Pertahanan,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S02606,75,74,82,,75,89,98,76,83,90,75,,75,,,86,,,several strong subjects,,74,82,79,,87,Bahasa,synthetic_v2,Ilmu Sosial,Pertahanan,Pertahanan,P0077,independent
balanced,False,high salary potential|public service,theory-heavy,K13 IPS,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,standard,S02607,78,67,68,,83,69,71,75,70,70,68,,73,86,,82,,,several strong subjects,,73,81,76,,70,IPA,synthetic_v2,Ilmu Terapan,Sains Data,Big Data Analytics,P0474,teamwork
social/human,True,remote/digital work|helping people,lab-heavy,K13 IPA,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Business|Design|Environment|Health,none,focused_average,S02608,,86,84,,72,87,77,,72,61,70,80,69,92,,79,,,balanced,,70,83,72,,77,IPA,synthetic_v2,Ilmu Alam,Kimia,Analis Kimia,P0087,independent
language/writing,True,high salary potential|helping people,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Technology,none,balanced_high,S02609,,75,96,,100,83,83,,90,89,89,73,87,95,,79,,,balanced,,,93,83,,84,IPS,synthetic_v2,Ilmu Terapan,"Konservasi Biologi, Konservasi Hewan Liar, Konservasi Hutan, Konservasi Sumber Daya Alam",Konservasi Sumber Daya Alam,P0464,independent
language/writing,True,stable career|helping people,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,balanced_high,S02610,83,86,90,,71,82,73,93,87,90,85,,94,97,,90,,93,balanced,,82,78,78,,83,IPA,synthetic_v2,Ilmu Terapan,Pendidikan,Pendidikan Agama Islam,P0274,lab work
creative/art,False,high salary potential|helping people,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02611,75,76,77,,97,78,79,,70,80,67,,71,69,,57,,,several strong subjects,,80,76,58,,53,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran,Ilmu Kedokteran,P0347,independent
language/writing,False,remote/digital work|stable career,theory-heavy,K13 IPA,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S02612,74,63,85,,82,72,73,,81,85,71,81,71,65,,69,,,several strong subjects,,76,81,84,,69,IPA,synthetic_v2,Humaniora,Seni,Seni Rupa,P0001,lab work
creative/art,False,stable career|high salary potential,lab-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02613,85,82,82,,87,70,78,76,75,72,85,81,77,71,,87,,,several strong subjects,,,85,87,,80,Bahasa,synthetic_v2,Ilmu Terapan,Kesehatan,Radiologi,P0371,independent
creative/art,False,high salary potential|research/innovation,field-heavy,K13 IPS,apti_dataset_v2,Arsitektur Lanskap,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S02614,77,,85,,78,78,75,82,90,80,73,,82,76,,100,,,several strong subjects,,98,92,76,,66,Merdeka,synthetic_v2,Ilmu Terapan,Arsitektur,Arsitektur Lanskap,P0174,field work
balanced,False,remote/digital work|high salary potential,balanced,Kurikulum Merdeka,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S02615,79,69,79,,83,,70,83,88,72,87,84,79,79,,92,,,several strong subjects,,85,72,82,,91,Bahasa,synthetic_v2,Humaniora,Filsafat,Filsafat,P0054,lab work
language/writing,True,research/innovation|high salary potential,field-heavy,K13 IPA,apti_dataset_v2,,Tourism Planner Hotel Manager,communication_media|engineering|hands_on|technology_digital|tourism_hospitality,Engineering|Media|Social|Technology|Tourism,none,standard,S02616,57,58,80,87,,77,76,82,86,85,58,75,77,70,,66,,,balanced,,,70,79,70,73,IPA,synthetic_v2,Ilmu Terapan,Pariwisata,Pariwisata,P0417,independent
language/writing,True,remote/digital work|public service,practical/project-heavy,K13 IPA,apti_dataset_v2,,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Design|Education|Engineering|Law|Technology,none,standard,S02617,71,89,82,,71,87,98,82,91,61,69,88,73,90,,74,,,balanced,,72,71,72,,97,IPS,synthetic_v2,Ilmu Terapan,Hukum,Hukum Tata Negara,P0392,field work
numbers/calculation,False,high salary potential|public service,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,standard,S02618,79,,72,,70,81,82,,89,,71,,76,87,,96,,,several strong subjects,,90,63,73,,,Bahasa,synthetic_v2,Ilmu Terapan,Sains Data,Analitika Data,P0473,independent
numbers/calculation,True,stable career|helping people,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Social|Technology,none,standard,S02619,80,72,69,,87,84,64,71,69,,67,72,74,67,,71,,,balanced,,80,63,66,,62,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran,Ilmu Kedokteran,P0347,field work
science/lab,False,research/innovation|stable career,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S02620,79,,76,,86,85,86,86,77,84,81,70,88,87,,77,,,several strong subjects,,89,78,66,,,Bahasa,synthetic_v2,Humaniora,Filsafat,Filsafat,P0054,field work
science/lab,True,remote/digital work|public service,theory-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Social|Technology,none,standard,S02621,78,84,74,,70,82,69,79,75,73,74,61,81,78,,71,,,balanced,,88,72,82,,66,IPS,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Perencanaan Kota,P0178,lab work
numbers/calculation,False,remote/digital work|stable career,lab-heavy,K13 IPA,apti_dataset_v2,,Apoteker Clinical Pharmacist,engineering|hands_on|health_lab|health_pharmacy|technology_digital,Engineering|Health|Technology,none,standard,S02622,80,89,75,,,,76,78,89,91,72,86,87,86,,78,,,several strong subjects,,83,86,81,,81,IPS,synthetic_v2,Ilmu Terapan,Ilmu Farmasi,Sains Farmasi,P0354,teamwork
balanced,False,helping people|remote/digital work,theory-heavy,K13 IPS,apti_dataset_v2,Astronomi,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S02623,83,,78,,70,75,77,,68,,86,,76,,,82,,,several strong subjects,,77,83,73,,72,IPA,synthetic_v2,Ilmu Alam,Astronomi,Astronomi,P0117,independent
social/human,False,high salary potential|public service,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,Studi Gender,Analyst Public Officer,communication_media|education|social_law_public,Media,none,focused_average,S02624,72,,71,,77,,85,,68,63,66,74,79,,,66,,,several strong subjects,,91,72,69,,92,Bahasa,synthetic_v2,Ilmu Sosial,Sosial,Studi Gender,P0064,lab work
science/lab,False,stable career|public service,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02625,,70,77,,83,80,80,90,73,71,92,86,79,87,,67,,,several strong subjects,,85,81,81,,74,IPS,synthetic_v2,Ilmu Terapan,Bisnis,Manajemen Bisnis Syariah,P0225,teamwork
science/lab,False,remote/digital work|stable career,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S02626,100,,82,,92,87,92,91,97,84,99,95,91,88,,94,,,several strong subjects,,96,94,72,,78,IPA,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Teknologi Rekayasa Perangkat Lunak,P0329,independent
creative/art,False,high salary potential|remote/digital work,practical/project-heavy,K13 IPS,apti_dataset_v2,Psikologi Pendidikan,HR Specialist Counselor Assistant,communication_media|education|education_teaching|helping_people|social_law_public|social_psychology,Education|Media|Psychology,none,standard,S02627,68,,76,,59,79,76,71,96,79,75,79,69,77,,78,,,several strong subjects,,,73,84,,75,Merdeka,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi Pendidikan,P0083,lab work
social/human,False,public service|research/innovation,field-heavy,K13 IPA,apti_dataset_v2,,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02628,77,72,77,,,,78,,74,68,78,77,92,70,,81,,,several strong subjects,,83,85,81,,,Bahasa,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Teknik Sistem Perkapalan,P0300,lab work
science/lab,False,helping people|public service,practical/project-heavy,K13 Bahasa,apti_dataset_v2,Psikologi Pendidikan,HR Specialist Counselor Assistant,communication_media|education|education_teaching|helping_people|social_law_public|social_psychology,Education|Media|Psychology,none,standard,S02629,72,90,81,,79,81,83,76,77,84,80,,81,77,,82,,,several strong subjects,,,73,72,,87,Bahasa,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi Pendidikan,P0083,independent
science/lab,True,stable career|helping people,field-heavy,K13 IPA,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Business|Environment|Health|Technology,none,balanced_high,S02630,90,100,82,,81,,100,100,88,,79,,84,90,,92,,,balanced,,86,80,80,,80,IPS,synthetic_v2,Ilmu Alam,Kimia,Analis Kimia,P0087,research-focused
numbers/calculation,False,stable career|research/innovation,balanced,Kurikulum Merdeka,apti_dataset_v2,,Ahli Gizi Nutritionist,engineering|hands_on|health_nutrition|helping_people|technology_digital,Engineering|Technology,none,standard,S02631,65,73,59,,90,72,74,,66,,53,79,66,84,,72,,,several strong subjects,,79,75,56,,61,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Gizi,Gizi Masyarakat,P0358,research-focused
science/lab,False,research/innovation|public service,balanced,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02632,77,72,83,,67,79,87,,55,71,88,68,68,,,89,,,several strong subjects,,,72,67,,69,IPS,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Perencanaan Wilayah dan Kota,P0176,lab work
balanced,True,helping people|public service,lab-heavy,K13 IPA,apti_dataset_v2,Manajemen Strategi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Technology,none,standard,S02633,78,84,75,,95,84,78,,80,75,72,77,73,88,,93,,,balanced,,91,90,61,,65,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Manajemen,Manajemen Strategi,P0206,independent
language/writing,False,helping people|high salary potential,lab-heavy,K13 Bahasa,apti_dataset_v2,Agrobisnis Perikanan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02634,68,66,56,,87,,65,74,68,,61,75,62,67,,65,,,several strong subjects,,65,67,79,,71,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Perikanan,Agrobisnis Perikanan,P0172,lab work
social/human,True,research/innovation|stable career,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health|Social|Technology,none,balanced_high,S02635,81,89,99,,91,81,91,92,82,78,75,93,82,97,,91,,,balanced,,,94,95,,93,Bahasa,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kelautan,Ilmu Kelautan,P0099,research-focused
numbers/calculation,False,stable career|high salary potential,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02636,86,88,77,,87,70,69,83,82,84,73,75,75,76,,93,,,several strong subjects,,,86,79,,76,Merdeka,synthetic_v2,Ilmu Terapan,Administrasi Bisnis,Administrasi Asuransi dan Aktuaria,P0220,field work
creative/art,False,high salary potential|research/innovation,field-heavy,K13 IPS,apti_dataset_v2,Sains Informasi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02637,,68,79,,68,99,78,73,77,78,96,,85,84,,88,,,several strong subjects,,78,93,86,,82,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Informasi,Sains Informasi,P0386,research-focused
creative/art,True,remote/digital work|research/innovation,lab-heavy,K13 IPS,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Education|Social|Technology,none,standard,S02638,67,,78,,77,77,80,,71,82,85,78,87,80,,93,,,balanced,,77,79,88,,81,Bahasa,synthetic_v2,Ilmu Formal,Logika,Logika dan Filsafat Sains,P0139,teamwork
creative/art,False,helping people|public service,theory-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02639,80,76,84,,75,76,77,80,81,74,,79,84,70,,77,,,several strong subjects,,60,71,80,,84,IPS,synthetic_v2,Ilmu Terapan,Studi Humanitas,Ilmu Al-Qur'an dan Tafsir,P0482,teamwork
balanced,False,public service|stable career,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S02640,92,83,72,,,82,77,75,66,71,84,84,74,75,,71,,,several strong subjects,,74,47,69,,,Bahasa,synthetic_v2,Ilmu Terapan,Urusan Publik,Hubungan Internasional,P0404,lab work
balanced,True,public service|research/innovation,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Education|Engineering|Social,none,standard,S02641,84,71,75,,,75,67,61,69,72,75,84,77,77,,85,,,balanced,,66,72,68,,79,IPA,synthetic_v2,Ilmu Terapan,Sains Data,Data Engineering,P0476,lab work
language/writing,False,public service|stable career,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S02642,100,87,90,,88,,80,90,82,,100,74,83,81,,86,,,several strong subjects,,80,78,99,,79,IPS,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Biostatistika,P0365,lab work
social/human,False,helping people|public service,practical/project-heavy,K13 IPS,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,balanced_high,S02643,75,91,76,,,91,80,97,97,,,83,90,88,,85,,,several strong subjects,,,90,91,,86,Merdeka,synthetic_v2,Humaniora,Linguistik,Bahasa Inggris,P0026,field work
creative/art,False,remote/digital work|helping people,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02644,82,75,73,,85,81,76,77,88,87,91,85,83,77,,72,,,several strong subjects,,,71,72,,96,Bahasa,synthetic_v2,Ilmu Terapan,Sains Perkopian,Sains Perkopian,P0477,independent
creative/art,False,helping people|stable career,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02645,80,71,72,,83,87,91,81,78,75,74,74,82,82,,78,,,several strong subjects,,64,83,76,,71,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran,Ilmu Kedokteran,P0347,field work
social/human,False,high salary potential|stable career,field-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02646,80,79,82,,86,,84,81,68,80,94,,71,74,,87,,,several strong subjects,,,79,93,,,IPA,synthetic_v2,Ilmu Terapan,"Geografi, Geografi Lingkungan, Sains Informasi Geografi",Geografi Lingkungan,P0450,lab work
balanced,False,helping people|stable career,theory-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S02647,71,82,77,,63,75,70,69,72,,74,86,67,69,,92,,,several strong subjects,,63,68,73,,80,IPA,synthetic_v2,Ilmu Terapan,"Geografi, Geografi Lingkungan, Sains Informasi Geografi",Sains Informasi Geografi,P0451,field work
social/human,False,public service|research/innovation,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,HR Specialist Counselor Assistant,communication_media|education|education_teaching|helping_people|social_law_public|social_psychology,Education|Media|Psychology,none,standard,S02648,75,58,86,,77,69,80,,81,71,79,82,86,72,,100,,,several strong subjects,,76,91,83,,,Merdeka,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi Pendidikan,P0083,lab work
language/writing,False,helping people|public service,balanced,Kurikulum Merdeka,apti_dataset_v2,Animasi,Designer Creative Director,creative_design|engineering|hands_on|technology_digital|visual_design,Design|Engineering|Technology,none,standard,S02649,88,,93,,84,76,85,,83,77,95,71,83,64,,90,,,several strong subjects,,78,73,70,,99,IPS,synthetic_v2,Ilmu Terapan,Desain,Animasi,P0187,teamwork
science/lab,False,helping people|remote/digital work,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S02650,77,61,61,,,,75,78,62,,70,68,67,77,,78,,,several strong subjects,,79,70,68,,64,Merdeka,synthetic_v2,Ilmu Alam,Astronomi,Astronomi,P0117,field work
science/lab,False,research/innovation|stable career,balanced,K13 IPS,apti_dataset_v2,Sains Atmosfer dan Keplanetan,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,focused_average,S02651,73,,70,,85,77,68,,72,75,76,87,83,74,,92,,,several strong subjects,,74,67,65,,59,IPA,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kebumian,Sains Atmosfer dan Keplanetan,P0098,field work
language/writing,False,public service|remote/digital work,theory-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S02652,,79,72,,,66,92,73,73,60,76,66,84,72,,91,,,several strong subjects,,74,81,90,,71,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Informasi,Sains Informasi,P0386,lab work
numbers/calculation,False,research/innovation|public service,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,Fisika Medis,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S02653,71,66,74,,73,63,68,64,82,71,67,68,76,67,,65,,,several strong subjects,,83,61,72,,76,IPS,synthetic_v2,Ilmu Alam,Fisika,Fisika Medis,P0115,teamwork
